Time,Date,City,Sub Location,Latitude,Longitude,Complaint Type,Complaint Description,Crime Intensity
15:38:36,12/03/24,Mumbai,Dadar,16.42701,73.38482,Theft,Direction add car without turn stand head movement.,Medium
23:22:08,10/02/24,Mumbai,Bandra,13.72458,73.46976,Vandalism,Father next about feeling enjoy movie may course have either.,Low
18:00:05,02/05/24,Surat,Vesu,14.09253,85.69897,Traffic Violation,Case get adult price pick whom inside almost management service.,Medium
01:21:41,10/01/25,Bengaluru,Whitefield,22.07447,85.81865,Domestic Violence,Wall next major third whom could bring hot.,Low
17:41:52,09/04/23,Surat,Vesu,24.575,75.56737,Burglary,Spring use back concern environment responsibility cut situation senior per amount doctor.,Medium
08:47:32,30/04/24,Pune,Shivaji Nagar,22.11693,74.44302,None,No incident reported.,None
16:48:57,17/04/23,Kolkata,Behala,22.51771,82.14139,Kidnapping,In structure politics country thus politics station put majority range tough sort.,Low
22:19:55,30/03/24,Kolkata,Dumdum,14.13015,77.60498,Traffic Violation,Cultural history dog part degree Republican study not past question.,Medium
02:05:05,01/01/25,Hyderabad,Miyapur,26.72964,86.9796,Domestic Violence,Where place you today sea morning.,Medium
18:12:44,25/06/24,Hyderabad,Banjara Hills,22.70604,77.90445,Cyber Crime,Exactly figure which herself can individual serious shake.,Low
23:27:20,31/07/24,Mumbai,Borivali,24.97673,74.2439,Vandalism,Husband financial blue professor station prove no a air country let.,Medium
17:38:19,16/05/23,Surat,Piplod,14.37729,74.32308,None,No incident reported.,None
12:43:00,10/08/23,Mumbai,Borivali,24.21356,86.48742,Burglary,Amount coach run war wait serve strong summer cup three.,High
02:16:44,14/06/24,Kolkata,Salt Lake,28.56606,77.03679,Cyber Crime,New according official top nature own space.,Medium
20:29:08,03/10/23,Surat,Vesu,14.26919,74.86004,Vandalism,Country face artist by although expert several value cultural.,Low
04:49:15,01/11/24,Pune,Shivaji Nagar,21.88537,85.46106,Domestic Violence,Charge effect standard help who against sort answer.,Medium
10:15:17,20/07/24,Mumbai,Bandra,22.78858,74.39543,Assault,Ability could eight that success everybody I.,Low
09:44:21,03/03/24,Mumbai,Dadar,27.68842,82.96262,Vandalism,Too meet less explain begin their able.,Low
05:40:45,23/03/25,Kolkata,Salt Lake,13.38987,75.8489,Kidnapping,Him be sport list ask political attention rock modern about we tough.,Low
05:25:11,04/08/24,Delhi,Connaught Place,13.10569,77.84555,Assault,Scientist start learn during rock find amount return know.,Medium
18:55:54,18/11/23,Bengaluru,MG Road,23.72363,72.90908,Drug Possession,Executive politics with reflect cup majority rest not third.,Low
06:44:24,06/10/23,Kolkata,Behala,25.19271,86.08729,Cyber Crime,Maybe expect door family culture itself final natural culture charge thank reality expect.,Low
09:43:10,25/02/24,Surat,Varachha,19.62086,76.57555,Assault,Training pass radio huge about everybody on know little candidate cause know include.,Low
00:31:49,22/04/24,Hyderabad,Hitech City,23.52049,78.13815,Burglary,Line small save near entire name hit suggest concern figure.,Low
18:16:00,05/05/23,Delhi,Karol Bagh,23.28459,83.16986,Traffic Violation,Behind second participant child agency cold nice deal herself quickly together whose.,Medium
19:50:42,08/06/23,Hyderabad,Secunderabad,21.3,87.5053,Kidnapping,A small bank television opportunity record local reach speech life beat try.,High
15:21:58,30/09/24,Kolkata,Park Street,23.65579,73.8035,Assault,Candidate affect rate provide open radio off.,High
04:15:56,04/11/23,Delhi,Karol Bagh,25.81963,80.49716,Drug Possession,Although month education answer strong would town manager another college compare leg marriage.,Medium
07:56:48,29/06/24,Mumbai,Dadar,27.38801,72.89369,Harassment,Floor standard ok watch respond top participant serve soldier design.,Medium
14:13:34,11/06/24,Chennai,T. Nagar,16.21115,79.86921,Harassment,Land news executive act summer under to until offer drug attack represent health.,Medium
07:56:16,17/06/23,Surat,Adajan,27.42245,73.13603,Kidnapping,Actually dinner cup family approach leave eye lot south speak matter.,High
00:26:53,15/10/23,Pune,Hinjewadi,25.33657,86.27766,Harassment,Wall watch talk near say look region could dream rather away high.,Low
17:38:01,25/08/23,Mumbai,Colaba,21.48585,74.76516,Assault,Democratic international lot my laugh speech usually rest stop value.,High
12:41:10,20/08/24,Mumbai,Borivali,20.40653,85.77891,Traffic Violation,Across family without not deep Mr say health peace bank glass wish specific.,Medium
16:59:59,21/04/24,Mumbai,Bandra,25.53082,81.92143,Burglary,Possible international Mr necessary poor generation occur about decision account.,Low
10:10:32,29/09/23,Chennai,Anna Nagar,17.82088,85.79796,Kidnapping,Loss actually ten interest goal main politics stock our anyone nation.,Medium
17:31:38,09/10/24,Kolkata,Salt Lake,22.96081,77.13905,Kidnapping,Receive fall mind sometimes employee in crime base dream organization PM catch.,High
07:17:48,08/08/23,Chennai,Anna Nagar,16.6838,87.70521,None,No incident reported.,None
03:35:06,18/03/25,Pune,Shivaji Nagar,18.93644,82.36292,None,No incident reported.,None
16:41:21,27/12/24,Delhi,Connaught Place,18.5064,83.9407,Kidnapping,Process sense benefit program partner capital consumer threat simple.,High
05:50:27,09/12/24,Kolkata,Dumdum,19.44412,78.24486,Traffic Violation,Teach color seat table rich result open.,Low
01:03:41,01/11/24,Mumbai,Bandra,19.7027,77.20931,Burglary,Price rest all make public to.,Low
09:37:07,07/10/23,Kolkata,Park Street,15.23799,76.52049,None,No incident reported.,None
02:59:15,04/02/25,Chennai,Velachery,20.17897,86.13471,None,No incident reported.,None
17:44:28,25/08/24,Kolkata,Behala,13.01389,78.06819,Kidnapping,Smile little describe yes it owner pay.,High
21:40:29,01/09/23,Bengaluru,Indiranagar,26.72547,86.02728,Domestic Violence,Economy fund camera professor from political.,Medium
19:26:45,29/04/24,Hyderabad,Secunderabad,14.05588,82.05775,None,No incident reported.,None
21:15:11,27/07/24,Chennai,Tambaram,20.67575,77.89415,Drug Possession,Investment most board boy family piece direction better.,Medium
16:35:23,19/03/24,Kolkata,Dumdum,22.94278,73.56981,None,No incident reported.,None
10:02:07,09/07/24,Mumbai,Borivali,24.39479,80.02463,Traffic Violation,Lose individual hospital approach report customer.,Medium
13:27:01,17/02/25,Chennai,T. Nagar,25.87251,87.58656,Cyber Crime,Skill green support hit in could man own heart art carry avoid grow.,High
14:31:51,28/11/23,Delhi,Karol Bagh,19.34963,74.14872,Vandalism,General expect form include even concern cup government.,Medium
22:38:49,14/04/23,Kolkata,Behala,28.33017,82.54306,Assault,Next myself total never of way against up exactly receive great.,High
06:04:05,09/01/24,Pune,Kothrud,17.33155,80.42066,Domestic Violence,Cover century interest where skill record two will.,High
08:27:13,24/09/23,Hyderabad,Miyapur,26.07586,88.21987,Theft,Front likely economic leave could society window idea job.,High
03:26:06,22/08/23,Delhi,Rohini,26.04851,82.63193,Domestic Violence,Official economic strategy prepare spend lose manager art maintain social well radio support.,Low
14:03:15,21/07/24,Hyderabad,Gachibowli,17.48838,76.03144,Assault,Leave live man time station address.,Medium
23:16:43,30/03/24,Mumbai,Colaba,19.12298,82.69014,Harassment,Focus agent financial on information responsibility example surface image wrong customer.,Medium
00:32:16,28/11/23,Pune,Shivaji Nagar,26.71641,80.01221,Cyber Crime,Lawyer though agency free friend believe political professor stop different out.,Medium
18:39:35,06/01/25,Kolkata,Howrah,15.72625,82.19926,Domestic Violence,And site gas describe huge majority cup word.,Medium
21:14:40,23/10/24,Delhi,Saket,16.47816,73.84216,Domestic Violence,If quickly measure civil education fund because what never know raise power it.,Medium
02:53:49,29/08/23,Bengaluru,Whitefield,27.9271,87.06003,Kidnapping,List hair run soon poor whatever happen bit.,Low
09:54:04,31/08/23,Kolkata,Dumdum,23.02775,74.71295,Cyber Crime,Attack store nor this second civil number forward able now likely.,Low
20:51:53,08/06/24,Mumbai,Dadar,21.91562,78.88069,Traffic Violation,Quickly seek major produce maybe car trade score however yourself.,Low
21:00:04,02/06/23,Delhi,Karol Bagh,18.63127,81.91236,Drug Possession,Choose fact assume which fine focus without.,Low
22:05:31,16/04/24,Pune,Wakad,18.49292,76.68566,Traffic Violation,Choose town that future hundred security end nothing military type.,Medium
01:46:50,24/08/23,Kolkata,Park Street,25.54698,77.45475,Burglary,Person they edge pattern commercial mouth knowledge film training nor.,Medium
10:26:55,26/10/23,Mumbai,Bandra,25.41262,84.92539,None,No incident reported.,None
12:45:08,18/06/24,Pune,Kothrud,20.41434,87.55116,Vandalism,The newspaper professional occur mouth and example capital usually process.,High
08:06:52,13/10/24,Pune,Shivaji Nagar,24.5911,79.63689,Vandalism,And I ask project morning forward method prevent.,Medium
14:57:45,12/11/24,Mumbai,Dadar,27.04789,80.69553,Traffic Violation,Local herself different sell in young nation protect.,Medium
00:20:55,05/11/23,Surat,Adajan,28.0044,86.8435,Domestic Violence,Fund leg scientist analysis example stop town near behind Mr blue yes.,Medium
04:39:46,26/06/24,Pune,Shivaji Nagar,25.82145,87.44864,Kidnapping,Indeed sea half whole indicate treat heart note others phone body set.,Medium
15:23:23,23/06/24,Pune,Kothrud,22.43914,81.27395,Assault,Material including benefit performance science friend claim great decade six see.,High
13:27:54,25/04/24,Kolkata,Park Street,15.48916,82.37536,Vandalism,Eat operation push generation eight generation someone reflect growth than feel.,Low
19:00:34,30/09/24,Bengaluru,Whitefield,21.83771,81.55183,None,No incident reported.,None
03:13:28,29/04/24,Pune,Shivaji Nagar,23.89455,83.41165,Traffic Violation,Or current range trip child wonder speech.,Low
23:19:49,22/05/23,Surat,Vesu,27.7137,82.3426,Harassment,Plant pressure have against open impact a whether how.,Low
03:56:58,03/04/24,Bengaluru,Indiranagar,14.02988,84.81695,Cyber Crime,Various total nor each experience see coach cause light gun stuff civil.,Low
01:26:07,15/04/23,Kolkata,Salt Lake,27.34085,76.26491,Traffic Violation,Why car region current behavior to lawyer operation often plan according reduce take charge.,Medium
03:54:19,17/12/23,Kolkata,Behala,22.85869,80.46054,Drug Possession,Between say her might lawyer Democrat social movement radio that.,Low
10:48:51,17/11/23,Hyderabad,Secunderabad,13.48346,81.86874,Drug Possession,Article better training tend president record whom address nice radio trouble sound there.,Medium
19:47:39,18/06/24,Surat,Varachha,22.88952,73.82453,Cyber Crime,Father feel marriage town tell right five because course actually.,Medium
10:49:42,24/10/23,Bengaluru,Whitefield,15.14099,78.65056,Kidnapping,Force certain conference avoid among pass possible fight control.,Low
12:38:57,11/04/23,Mumbai,Andheri,20.57877,82.75294,Kidnapping,Wonder language purpose program determine truth when within form to.,Low
13:30:00,06/03/25,Kolkata,Behala,14.24933,78.90064,Drug Possession,Service wear air brother people world across yeah necessary answer fish party reduce.,Medium
12:37:40,21/02/25,Chennai,T. Nagar,19.47132,79.71899,Drug Possession,Out buy hear here live return.,Medium
00:26:52,12/08/24,Chennai,Adyar,15.68468,83.49322,None,No incident reported.,None
01:06:58,19/11/23,Hyderabad,Banjara Hills,21.77251,84.74344,None,No incident reported.,None
07:44:12,06/12/23,Chennai,Adyar,22.34312,85.08481,Kidnapping,Production glass pretty discuss culture contain network this step ability reduce consider last.,Medium
22:18:19,16/02/25,Surat,Vesu,26.89296,85.63738,Harassment,Serious relationship ground traditional second discover return prevent democratic Democrat like head world.,High
14:51:56,16/09/24,Hyderabad,Gachibowli,19.25902,77.6813,Domestic Violence,Peace carry collection affect store conference price.,Low
14:38:21,14/02/25,Hyderabad,Banjara Hills,15.01265,79.50911,None,No incident reported.,None
23:12:28,12/10/24,Hyderabad,Secunderabad,13.53403,78.51504,Assault,Play spring large require various dinner western somebody property.,High
19:37:42,08/02/25,Delhi,Saket,22.98976,87.72628,Harassment,Where finish finally director also between travel reach growth nature push parent.,Medium
00:15:21,26/01/25,Bengaluru,MG Road,17.45665,78.57235,Theft,Board stop age for black local appear defense for.,High
04:09:14,18/01/25,Surat,Katargam,20.27432,85.97813,Theft,Great ready president box put work serve home since level.,Low
04:19:16,18/08/24,Bengaluru,Electronic City,14.76428,74.25089,Assault,Recognize out support save order exactly television.,Low
03:15:42,13/04/23,Mumbai,Colaba,13.27778,80.19737,Theft,Book business whole serious practice new.,Medium
23:32:09,19/03/25,Bengaluru,MG Road,14.19635,86.58786,Drug Possession,Build attorney season understand commercial piece make many agency catch hold.,Low
01:16:27,22/08/23,Bengaluru,Whitefield,15.59778,85.57743,Drug Possession,Time go study situation visit floor indicate money result.,Low
16:23:44,17/08/24,Hyderabad,Banjara Hills,14.45536,76.01242,Domestic Violence,Argue almost American after happen seven second air scene perhaps laugh make employee.,Medium
14:53:38,02/05/23,Chennai,Tambaram,23.40664,85.62244,Kidnapping,Half catch present seek ok quickly decade air degree send nice.,Low
04:29:29,23/06/24,Surat,Vesu,17.08526,76.04587,Cyber Crime,Picture discuss worry senior than push.,Medium
12:52:38,25/12/24,Kolkata,Park Street,26.39217,78.78258,Burglary,Ball stop natural generation all about TV election design represent born.,High
08:59:32,30/04/24,Chennai,Anna Nagar,22.2894,87.99556,Harassment,Environment can argue his cause since analysis help.,High
08:38:15,10/08/23,Bengaluru,Koramangala,14.99208,79.14265,Drug Possession,Top product low arm involve training hot away rise out sport nature.,Low
20:19:12,12/03/24,Kolkata,Howrah,26.53026,83.0591,Domestic Violence,Mention style dog experience science poor draw thought medical recent.,Low
05:27:08,11/08/24,Hyderabad,Miyapur,24.58704,78.27115,Harassment,Special seven foreign plant cell however college another exactly prepare military best something.,High
04:27:17,15/04/24,Pune,Hinjewadi,17.63581,86.69202,Kidnapping,Message just war newspaper later daughter tonight anyone.,Low
21:18:46,14/04/23,Pune,Kothrud,22.18183,72.99371,Domestic Violence,Beautiful authority measure boy something describe parent and laugh value effort five write.,Low
19:29:23,29/01/25,Delhi,Dwarka,13.75813,85.77695,Vandalism,Seat piece PM team including bit value.,Low
15:47:54,13/04/24,Mumbai,Colaba,25.29213,74.8805,Burglary,Car establish man other after support.,Medium
19:33:22,06/03/24,Delhi,Karol Bagh,21.5889,85.26824,Kidnapping,Bill eat degree collection education poor natural represent main why most.,High
17:32:21,28/05/23,Surat,Adajan,28.0547,76.22646,Traffic Violation,Agent nation situation compare he cell practice newspaper medical power throw.,Medium
06:05:32,24/01/24,Mumbai,Borivali,23.67495,86.82315,Harassment,Though general call relate guy write leg reason.,Medium
03:30:01,14/03/24,Bengaluru,Indiranagar,15.04211,84.65745,Cyber Crime,Other our have final wonder official film concern whose cover.,Low
11:57:08,18/08/24,Mumbai,Borivali,20.55101,83.58821,Cyber Crime,Because rest section onto garden outside less sing appear.,Medium
01:43:31,28/08/23,Delhi,Dwarka,21.68061,81.00304,None,No incident reported.,None
16:20:01,20/03/24,Bengaluru,Whitefield,17.23262,79.46768,Harassment,But likely radio financial vote method without around development.,Low
20:35:49,12/03/24,Chennai,Tambaram,23.81965,83.61299,Harassment,South three street around similar policy.,Low
23:59:33,15/04/23,Chennai,Tambaram,28.30454,86.43256,Kidnapping,Voice appear dark you individual cause resource today baby open guess clear house.,Medium
19:26:21,03/10/23,Surat,Adajan,13.48174,83.29916,Harassment,Need whole simply member fear cultural.,High
07:53:15,10/05/24,Chennai,Velachery,15.95641,79.02792,Burglary,Visit term activity like painting whether four.,High
19:36:37,30/03/24,Surat,Piplod,15.08785,74.13159,Domestic Violence,Law movement cut best find them we land avoid high.,Medium
08:40:44,18/11/23,Bengaluru,Indiranagar,24.51776,82.12232,Cyber Crime,Process message time modern support can alone same road industry.,Low
03:08:20,02/10/24,Surat,Katargam,19.31863,87.07626,None,No incident reported.,None
13:15:24,15/01/24,Pune,Viman Nagar,22.17424,74.66896,Vandalism,Well produce line treat watch college.,Medium
15:55:08,19/04/24,Mumbai,Andheri,17.26439,80.40915,Assault,Act usually public few first explain.,Low
17:16:43,06/03/24,Mumbai,Borivali,15.92573,87.48441,Theft,Reach anything this scientist together seat series others author issue since.,Medium
01:20:56,29/02/24,Delhi,Connaught Place,18.31688,75.9462,Domestic Violence,International important even former respond represent.,Low
14:07:09,26/08/24,Chennai,Anna Nagar,16.78321,74.72052,Burglary,What only cell from any police nice close.,Low
12:51:14,28/08/23,Surat,Varachha,26.49672,83.27982,Harassment,Bill eye air win wife section floor apply position also range despite good.,High
15:21:58,27/10/24,Mumbai,Colaba,22.82766,78.86868,Burglary,Shoulder career financial who sure must use.,Low
13:31:34,04/11/24,Bengaluru,MG Road,21.9944,78.12011,Kidnapping,Heart sell hundred buy two represent buy security.,Medium
14:33:21,01/10/24,Surat,Katargam,17.33003,75.79875,Cyber Crime,May well court gun if talk join few include.,Medium
17:28:25,06/03/25,Kolkata,Howrah,23.63349,75.8312,Domestic Violence,Husband arrive they painting less develop church new exist common prove traditional position.,Medium
20:26:07,13/06/23,Kolkata,Park Street,16.96276,82.85811,Drug Possession,Beautiful create safe season candidate rise evidence table serve between box.,Medium
00:15:36,09/05/24,Surat,Adajan,24.38673,73.73598,Burglary,None source nation over push a.,Medium
13:50:09,17/10/23,Delhi,Connaught Place,21.08926,73.02777,Harassment,Hour yet let him address state.,Medium
14:42:30,13/02/24,Pune,Wakad,19.52482,84.82978,Traffic Violation,Range scene week gun well help near series prepare vote.,Medium
10:57:27,03/02/25,Mumbai,Borivali,20.37922,73.91044,None,No incident reported.,None
23:08:57,18/03/25,Kolkata,Howrah,19.9734,83.22033,Traffic Violation,Arrive recently for especially democratic draw everybody thank total morning.,Low
23:53:55,27/03/25,Kolkata,Behala,20.3348,79.83807,Assault,Top service low reduce try culture response physical process.,Low
13:04:21,09/11/24,Mumbai,Dadar,22.39869,82.04095,None,No incident reported.,None
12:27:36,04/08/23,Bengaluru,Indiranagar,20.75768,79.83048,Vandalism,Though type from discussion like day.,High
03:26:24,10/10/24,Pune,Viman Nagar,15.65849,83.15339,None,No incident reported.,None
17:19:54,12/04/23,Chennai,Adyar,15.41063,75.0121,Cyber Crime,Hope international list born economic study worker accept space.,Medium
21:29:31,25/06/23,Pune,Hinjewadi,17.89096,76.32464,Burglary,Care city issue employee test easy to agree prove.,Medium
12:29:57,11/12/24,Surat,Varachha,13.40794,78.40226,Kidnapping,Cause course story drop court writer lay source.,Medium
21:46:21,07/06/24,Hyderabad,Miyapur,16.64393,84.41609,Cyber Crime,Serve professor east between four understand arrive address year accept course organization goal.,Low
13:19:23,25/02/25,Surat,Adajan,27.84995,73.96352,Kidnapping,School whose purpose education often campaign say financial.,Medium
01:53:02,22/09/23,Delhi,Dwarka,25.46514,86.67453,Drug Possession,Design culture effect sport value woman.,High
08:51:28,06/12/24,Mumbai,Borivali,21.72372,77.56096,None,No incident reported.,None
12:39:03,30/12/24,Pune,Wakad,26.14298,78.52395,Kidnapping,Make consider direction guy gun certain back.,Low
13:11:04,01/04/25,Kolkata,Salt Lake,15.09688,81.36063,Vandalism,Out black song nearly measure social church they.,Low
12:30:28,11/12/23,Pune,Wakad,25.6714,85.46446,Burglary,Social necessary left attorney character western particularly kind concern short.,Low
05:46:10,22/12/24,Kolkata,Behala,17.0937,84.36343,Vandalism,Toward blood top sign strong buy.,Medium
11:21:11,03/02/24,Mumbai,Bandra,18.96805,82.12067,Domestic Violence,Forget build recognize as anyone message sometimes service attention join performance five late.,Medium
17:38:06,02/03/24,Surat,Piplod,14.59659,87.9091,Drug Possession,Western without experience management be follow two college second outside.,Low
02:17:12,14/02/24,Bengaluru,Koramangala,26.0389,77.53808,Vandalism,Deep TV lose in whole different development theory her senior box.,Medium
09:00:51,14/04/24,Kolkata,Park Street,27.09614,74.79481,Harassment,Eight customer down successful seven return already do drug.,High
03:48:49,06/01/25,Chennai,Adyar,21.52282,73.00166,Assault,Describe report positive more almost yeah sister staff until company nice skin interest.,Low
15:07:12,07/01/24,Bengaluru,Indiranagar,25.57612,85.77573,None,No incident reported.,None
04:11:08,19/05/24,Bengaluru,Whitefield,26.26352,87.64714,Theft,Deal decade herself during fast well.,Medium
04:56:05,21/04/24,Mumbai,Dadar,23.5319,86.97838,Kidnapping,Executive certain big once activity have.,Medium
19:43:56,04/07/23,Kolkata,Salt Lake,21.89225,80.74391,Traffic Violation,Pull morning everyone too great stop argue recognize special trade.,Low
06:11:02,22/02/24,Pune,Shivaji Nagar,14.03391,76.46761,Burglary,Some everything many goal low past base approach.,Medium
18:39:12,21/08/24,Chennai,Adyar,17.55274,83.87257,Theft,Artist with on same toward because.,Medium
22:31:47,07/11/24,Bengaluru,Koramangala,15.4717,79.11745,Kidnapping,Matter would well everybody total agency radio money blood mother attention law Mr.,High
19:07:27,08/12/24,Chennai,Velachery,23.74292,79.62582,Vandalism,Military treatment hour court see central mouth modern.,Low
02:48:17,28/04/23,Bengaluru,Whitefield,20.01925,78.97787,Assault,Idea left bar story performance recognize music everything meeting action they reason card.,Low
09:00:11,19/04/24,Hyderabad,Banjara Hills,25.75632,81.54315,Theft,Choose top clear apply the tonight keep executive reflect floor camera.,Medium
02:53:57,16/09/24,Mumbai,Dadar,26.70999,76.83194,Assault,Director physical always to mission whatever trouble different.,Medium
22:26:31,31/10/24,Surat,Piplod,13.83417,82.99984,Kidnapping,Myself policy argue race amount apply share student whether.,High
17:18:28,19/03/24,Hyderabad,Gachibowli,24.06607,84.49547,Assault,Agree question president us early amount speak team amount.,Low
14:32:39,21/03/25,Pune,Wakad,13.4003,83.05585,Cyber Crime,Worker hope science out also product through not herself system year kitchen.,Medium
20:51:52,07/11/24,Kolkata,Park Street,24.53012,82.24889,Drug Possession,Quality factor however shoulder air long lead.,Medium
05:06:19,20/05/23,Delhi,Rohini,28.21066,85.26469,Cyber Crime,Paper similar benefit prepare sea thought center officer walk father class per executive.,High
16:34:48,06/06/24,Kolkata,Dumdum,16.82432,85.5019,Burglary,Find stop increase explain raise research.,Medium
20:04:58,01/07/23,Delhi,Connaught Place,16.04707,83.09504,Cyber Crime,Serious apply very drop model scientist season thought.,Low
12:47:07,20/04/24,Delhi,Connaught Place,26.91542,79.46821,Drug Possession,End third first sometimes marriage lot same force cause so hour card.,Low
15:51:40,30/11/24,Surat,Adajan,25.88981,84.28671,Kidnapping,Cold need mother research answer news short PM similar assume fly laugh.,High
22:15:49,24/10/23,Mumbai,Colaba,18.67433,83.23882,None,No incident reported.,None
01:31:41,01/10/23,Chennai,Velachery,24.95279,86.85872,None,No incident reported.,None
18:18:24,26/12/24,Mumbai,Andheri,17.3788,82.27987,Domestic Violence,Success whole challenge rather instead simple.,Medium
07:13:47,12/08/23,Kolkata,Behala,15.90222,77.94253,Kidnapping,Event follow close prevent time establish.,Low
06:47:49,28/11/24,Pune,Hinjewadi,16.37856,87.4316,Harassment,Consider check serve company anyone open marriage phone economy idea control ground.,Medium
05:21:01,16/11/24,Chennai,T. Nagar,16.74307,76.91484,Kidnapping,Describe daughter face whether with voice yourself in thousand rule.,Medium
15:37:22,23/06/24,Surat,Piplod,21.76955,73.66947,Kidnapping,Already production effort nice treatment whatever window wide realize method return shake.,Medium
15:50:49,23/09/24,Surat,Vesu,16.77346,88.24253,Domestic Violence,Foot approach mission cup record or senior.,High
23:32:03,20/05/23,Kolkata,Salt Lake,22.27676,75.72266,Assault,Fine attorney dinner society series fire try.,Medium
23:12:37,26/04/23,Hyderabad,Hitech City,23.39528,79.89352,Traffic Violation,Best avoid exactly girl professor agent they point method late from area economic growth.,Medium
11:05:14,14/08/24,Mumbai,Borivali,24.58571,74.99569,Drug Possession,Even prepare debate rich technology inside decision.,Low
15:40:03,25/12/23,Delhi,Rohini,24.83787,78.64252,Cyber Crime,Modern behind fish remain for music do.,High
05:22:01,08/04/24,Kolkata,Dumdum,24.28695,86.26261,None,No incident reported.,None
18:06:38,09/10/24,Hyderabad,Banjara Hills,26.33142,83.02201,Traffic Violation,Nearly seem foot live property specific yourself beyond think business hit.,Low
18:10:46,20/10/24,Delhi,Saket,25.02905,76.45665,Harassment,House why institution head general rule relationship conference husband deal step.,Low
18:40:49,29/06/23,Surat,Katargam,26.17611,86.03892,Vandalism,Trial two executive economic morning work where make radio get theory perform wear.,Medium
17:34:00,15/08/24,Chennai,T. Nagar,24.19779,81.27288,None,No incident reported.,None
11:42:14,14/11/24,Hyderabad,Miyapur,13.51501,80.44179,Vandalism,May cause keep man decide boy term else.,High
06:09:02,07/09/24,Bengaluru,MG Road,21.89936,78.40071,Assault,Defense loss test time something model little chance science.,Low
09:16:02,05/07/23,Bengaluru,Indiranagar,19.38909,81.02957,Theft,Structure nature beat something person industry.,High
10:01:37,19/07/23,Mumbai,Bandra,19.9636,76.86529,None,No incident reported.,None
12:25:50,15/11/24,Bengaluru,Whitefield,13.44779,77.22228,Burglary,Impact manage expect thus answer much form hear.,Medium
17:31:18,11/04/23,Mumbai,Bandra,18.22692,77.0922,Kidnapping,Education floor staff drive series total into discuss law shoulder.,High
05:43:11,20/07/23,Bengaluru,Koramangala,25.57071,75.08801,Traffic Violation,Leg today somebody doctor see understand care test care several few answer study light.,High
13:44:31,13/12/24,Chennai,Tambaram,26.01133,73.16331,Drug Possession,Ever source nation like choice movie mention really already somebody win bar board.,Low
19:58:40,20/03/25,Surat,Piplod,27.42184,84.50462,Theft,Leave bed growth your science newspaper doctor become environmental recent best.,Low
12:06:40,12/09/23,Kolkata,Dumdum,14.9188,75.73106,Vandalism,Hope per gun anything once western.,Medium
05:01:37,03/09/24,Mumbai,Colaba,14.51276,87.60258,Domestic Violence,Natural its another wide just affect.,Low
22:20:53,17/03/25,Mumbai,Colaba,19.90501,78.65548,Cyber Crime,Which Mrs institution personal argue person write its star.,Low
22:25:35,23/06/24,Pune,Viman Nagar,20.19081,83.44157,Assault,Large mouth play organization party example just current catch meet.,Low
07:59:23,12/05/24,Surat,Varachha,16.35607,84.11157,Kidnapping,Clear section growth little simple true number receive.,Low
22:11:20,17/11/24,Delhi,Saket,23.72794,77.59879,Theft,Light pressure without so adult toward guess during responsibility system thus eight.,Low
18:07:47,14/08/23,Surat,Piplod,24.09907,77.81836,Cyber Crime,Keep car friend physical kid list drive cut picture officer among list.,Medium
10:36:41,22/03/24,Pune,Kothrud,15.04612,75.06381,Domestic Violence,Federal state new finally military civil education society film.,Medium
22:36:21,06/12/24,Delhi,Karol Bagh,13.4651,81.9444,Traffic Violation,Sea memory reveal beyond prove them force small.,Low
01:15:37,05/07/23,Chennai,Velachery,15.96551,84.42945,Burglary,Economy where best relate upon understand on nice.,Low
12:55:09,22/07/24,Surat,Varachha,23.72975,81.12455,Burglary,Financial public almost expect investment her sometimes black dream on professional either information.,Medium
12:10:28,24/12/23,Bengaluru,Whitefield,24.05008,78.9797,Cyber Crime,Point you thousand help into adult not.,Medium
22:25:10,16/06/24,Chennai,Anna Nagar,23.00268,81.20484,Harassment,Staff bar player reality we camera.,Low
16:20:07,22/12/23,Chennai,Anna Nagar,22.10978,82.94204,Drug Possession,Democrat spend east give region remember.,High
07:19:14,14/09/23,Surat,Adajan,28.28919,85.20582,Traffic Violation,Vote onto rich security police heavy watch design.,Medium
16:18:22,02/12/23,Pune,Hinjewadi,14.55032,81.38262,Burglary,List serve agreement yourself act him expect.,Low
04:57:31,10/02/25,Hyderabad,Gachibowli,17.50921,84.14224,Traffic Violation,Feel second fight affect point art forward local.,High
04:06:09,09/02/25,Bengaluru,MG Road,19.3672,81.73587,Cyber Crime,Thus interesting mother follow home response short computer.,Low
10:36:38,30/01/25,Surat,Adajan,17.32722,81.12513,Traffic Violation,Morning artist land character environment station reason community about.,High
00:08:18,07/05/24,Delhi,Dwarka,27.47121,75.8043,Drug Possession,Hospital town career election person low attack laugh number enter executive president.,Low
08:41:53,22/05/24,Mumbai,Andheri,26.31691,87.71246,Harassment,Difficult far form city either dog fall do.,Low
08:13:36,27/04/23,Chennai,T. Nagar,13.96581,81.09156,Drug Possession,Local deep place camera often the sense animal.,Medium
16:18:07,20/05/23,Mumbai,Bandra,28.2333,75.02411,Assault,Ok clearly free establish quality theory several within letter wall thousand.,High
23:12:20,21/12/23,Pune,Wakad,27.79553,80.83736,None,No incident reported.,None
03:00:29,18/11/24,Kolkata,Behala,28.42969,81.18363,Burglary,Want high card factor difficult Mr four remember.,Low
